catalog_id,collection_id,title,noinduk_deposit,publishlocation,tag_090
883643,1106987,"Jio / Seishi Kishimoto ; alih bahasa, Milianti ; editor, Hyasinta",,"Jakarta :","CB-D.9 2010-8788(5)/4347-2012; ..(6)/5525-2012; ..(18)/4528-2009 ; 4283-2012 ; 2011-1890/6361-2011 ; 2009-.../5361-2011 ; 2009-.../3691-2011 ; 2010- /3789-2011 (8) ; 4131-2012 (8) ; 4132-2012 (9) ; 4133-2012 (10) ; 4134-2012 (17) ; 2010-9733(4) ; 2010-9605 (8)"
881111,1105120,"Demon sacred / Natsumi Itsuki ; alih bahasa, Eka Fithry Handayani; editor Tara",,"Jakarta :","CB-D.9 2014-3631(1)/9217-2014; 2014-3631(9)/9217-2014; 2014-578(4)/2868-2014 ; 2014-357/3667-2014 ; CB-D.9 2014-1192/4872-2014; ...(2)/2898-2012; 2014-3631(10)/9218-2014; 2014-3571(11)/9039-2014"
873321,1087707,"Rainbow : English book series for elementary school students / Christina Kristiani... [et al.]",,"Yogyakarta :","CB-D.11 2013-3460(jil.2)/7791-2013 ; 2013-3460(jil.3)/7792-2013 ; 2013-3460(jil.4)/7793-2013 ; 2013-3460(Jil.6)/7794-2013"
873321,1087708,"Rainbow : English book series for elementary school students / Christina Kristiani... [et al.]",,"Yogyakarta :","CB-D.11 2013-3460(jil.2)/7791-2013 ; 2013-3460(jil.3)/7792-2013 ; 2013-3460(jil.4)/7793-2013 ; 2013-3460(Jil.6)/7794-2013"
873321,1087709,"Rainbow : English book series for elementary school students / Christina Kristiani... [et al.]",,"Yogyakarta :","CB-D.11 2013-3460(jil.2)/7791-2013 ; 2013-3460(jil.3)/7792-2013 ; 2013-3460(jil.4)/7793-2013 ; 2013-3460(Jil.6)/7794-2013"
873321,1087710,"Rainbow : English book series for elementary school students / Christina Kristiani... [et al.]",,"Yogyakarta :","CB-D.11 2013-3460(jil.2)/7791-2013 ; 2013-3460(jil.3)/7792-2013 ; 2013-3460(jil.4)/7793-2013 ; 2013-3460(Jil.6)/7794-2013"
873321,1087711,"Rainbow : English book series for elementary school students / Christina Kristiani... [et al.]",,"Yogyakarta :","CB-D.11 2013-3460(jil.2)/7791-2013 ; 2013-3460(jil.3)/7792-2013 ; 2013-3460(jil.4)/7793-2013 ; 2013-3460(Jil.6)/7794-2013"
873321,1087712,"Rainbow : English book series for elementary school students / Christina Kristiani... [et al.]",,"Yogyakarta :","CB-D.11 2013-3460(jil.2)/7791-2013 ; 2013-3460(jil.3)/7792-2013 ; 2013-3460(jil.4)/7793-2013 ; 2013-3460(Jil.6)/7794-2013"
873321,1087713,"Rainbow : English book series for elementary school students / Christina Kristiani... [et al.]",,"Yogyakarta :","CB-D.11 2013-3460(jil.2)/7791-2013 ; 2013-3460(jil.3)/7792-2013 ; 2013-3460(jil.4)/7793-2013 ; 2013-3460(Jil.6)/7794-2013"
873321,1087714,"Rainbow : English book series for elementary school students / Christina Kristiani... [et al.]",,"Yogyakarta :","CB-D.11 2013-3460(jil.2)/7791-2013 ; 2013-3460(jil.3)/7792-2013 ; 2013-3460(jil.4)/7793-2013 ; 2013-3460(Jil.6)/7794-2013"
877805,1095612,"Highschool of the dead / Daisuke Sato ; alih bahasa, Ninuk Sulistyawati ; editor, Ellen",,"Jakarta :","CB-D.9 2014-3516/8358-2014 ; 2014-1179/4859-2014; 2013-2443(2)/6414-2013 ; 2014-282/1792-2014 ; 2013-1555/4765-2013"
877658,1095351,"Iliad / Uoto Osamu, Toshusai Garaku ; alih bahasa, Isao Arif ; editor, Jessika",,"Jakarta :","CB-D.9 2013-8430/8222-2014; 09-4336(1); 4685-2012(2) ; 9473-2012 ; 2011-1786/5969-2011 ; 2011-2207/6823-2011; ../4435(6)-2011; 2011-10573/184(8)-2012; ../2299(9)-2012; ../7250(11)-2012; ../2013-621/2157(13)-2013; 2013-2458/6429(15)-2013; ../5400(2)-2011; ../2875(10)-2012"
877658,1095352,"Iliad / Uoto Osamu, Toshusai Garaku ; alih bahasa, Isao Arif ; editor, Jessika",,"Jakarta :","CB-D.9 2013-8430/8222-2014; 09-4336(1); 4685-2012(2) ; 9473-2012 ; 2011-1786/5969-2011 ; 2011-2207/6823-2011; ../4435(6)-2011; 2011-10573/184(8)-2012; ../2299(9)-2012; ../7250(11)-2012; ../2013-621/2157(13)-2013; 2013-2458/6429(15)-2013; ../5400(2)-2011; ../2875(10)-2012"
877094,1094444,"Alice academy / Tachibana Higuchi ; alih bahasa, Nein ; edito, Siti Aminingsih",,"Jakarta :","CB-D.9 2013-8359(25)/8203-2014 ; 2013-8359(21)/3913-2013 ; 2013-4778(27)/9247-2013 ; 2013-8359(24)/5768-2013 ; 2013-1933/5680-2013"
877094,1097684,"Alice academy / Tachibana Higuchi ; alih bahasa, Nein ; edito, Siti Aminingsih",,"Jakarta :","CB-D.9 2013-8359(25)/8203-2014 ; 2013-8359(21)/3913-2013 ; 2013-4778(27)/9247-2013 ; 2013-8359(24)/5768-2013 ; 2013-1933/5680-2013"
876574,1095053,"Arata / Yuu Watase ; alih bahasa, Yenny Hendrawati ; editor, Faizal",,"Jakarta :","CB-D.9 2013-8336(3)/8215-2014 ; 2013-8336(7)/7829-2014 ; 2013-5133(9)/10152-2013 ; 2013-1378(4)/4627-2013 ; 2013-202/2010-2013 (1) ; 2013-4960/9429-2013 (8). 2013-436/2996-2013 (2)"
876574,1095054,"Arata / Yuu Watase ; alih bahasa, Yenny Hendrawati ; editor, Faizal",,"Jakarta :","CB-D.9 2013-8336(3)/8215-2014 ; 2013-8336(7)/7829-2014 ; 2013-5133(9)/10152-2013 ; 2013-1378(4)/4627-2013 ; 2013-202/2010-2013 (1) ; 2013-4960/9429-2013 (8). 2013-436/2996-2013 (2)"
876574,1093359,"Arata / Yuu Watase ; alih bahasa, Yenny Hendrawati ; editor, Faizal",,"Jakarta :","CB-D.9 2013-8336(3)/8215-2014 ; 2013-8336(7)/7829-2014 ; 2013-5133(9)/10152-2013 ; 2013-1378(4)/4627-2013 ; 2013-202/2010-2013 (1) ; 2013-4960/9429-2013 (8). 2013-436/2996-2013 (2)"
876574,1093360,"Arata / Yuu Watase ; alih bahasa, Yenny Hendrawati ; editor, Faizal",,"Jakarta :","CB-D.9 2013-8336(3)/8215-2014 ; 2013-8336(7)/7829-2014 ; 2013-5133(9)/10152-2013 ; 2013-1378(4)/4627-2013 ; 2013-202/2010-2013 (1) ; 2013-4960/9429-2013 (8). 2013-436/2996-2013 (2)"
877094,1096266,"Alice academy / Tachibana Higuchi ; alih bahasa, Nein ; edito, Siti Aminingsih",,"Jakarta :","CB-D.9 2013-8359(25)/8203-2014 ; 2013-8359(21)/3913-2013 ; 2013-4778(27)/9247-2013 ; 2013-8359(24)/5768-2013 ; 2013-1933/5680-2013"
878796,1097359,"Aoba bicycle shop/ Gaku Miyao ; alih bahasa, Nein ; editor, Sari",,"Jakarta :","CB-D.9 2013-8434(10)/441-2013 ; 2013-4777(13)/9246-2013; 2013-2101/5920-2013; 2013-3738(11)/2144-2013"
877094,1097369,"Alice academy / Tachibana Higuchi ; alih bahasa, Nein ; edito, Siti Aminingsih",,"Jakarta :","CB-D.9 2013-8359(25)/8203-2014 ; 2013-8359(21)/3913-2013 ; 2013-4778(27)/9247-2013 ; 2013-8359(24)/5768-2013 ; 2013-1933/5680-2013"
877094,1097370,"Alice academy / Tachibana Higuchi ; alih bahasa, Nein ; edito, Siti Aminingsih",,"Jakarta :","CB-D.9 2013-8359(25)/8203-2014 ; 2013-8359(21)/3913-2013 ; 2013-4778(27)/9247-2013 ; 2013-8359(24)/5768-2013 ; 2013-1933/5680-2013"
877094,1097757,"Alice academy / Tachibana Higuchi ; alih bahasa, Nein ; edito, Siti Aminingsih",,"Jakarta :","CB-D.9 2013-8359(25)/8203-2014 ; 2013-8359(21)/3913-2013 ; 2013-4778(27)/9247-2013 ; 2013-8359(24)/5768-2013 ; 2013-1933/5680-2013"
877094,1097758,"Alice academy / Tachibana Higuchi ; alih bahasa, Nein ; edito, Siti Aminingsih",,"Jakarta :","CB-D.9 2013-8359(25)/8203-2014 ; 2013-8359(21)/3913-2013 ; 2013-4778(27)/9247-2013 ; 2013-8359(24)/5768-2013 ; 2013-1933/5680-2013"
878796,1098322,"Aoba bicycle shop/ Gaku Miyao ; alih bahasa, Nein ; editor, Sari",,"Jakarta :","CB-D.9 2013-8434(10)/441-2013 ; 2013-4777(13)/9246-2013; 2013-2101/5920-2013; 2013-3738(11)/2144-2013"
877805,1095613,"Highschool of the dead / Daisuke Sato ; alih bahasa, Ninuk Sulistyawati ; editor, Ellen",,"Jakarta :","CB-D.9 2014-3516/8358-2014 ; 2014-1179/4859-2014; 2013-2443(2)/6414-2013 ; 2014-282/1792-2014 ; 2013-1555/4765-2013"
875318,1091294,"Happy marriage!? / Enjoji Maki ; alih bahasa, Ninuk Sulistyawati ; editor, Anggi",,"Jakarta :","CB-D.9 2013-8303/826-2013 ; 2013/2137-2013 ; 9718-2012 ; 2013-1032/3888-2013 ; 2014-159/1569-2014 ; 2013-4265/8734-2013 ; 2014-159/1569-2014 (8)"
875318,1091295,"Happy marriage!? / Enjoji Maki ; alih bahasa, Ninuk Sulistyawati ; editor, Anggi",,"Jakarta :","CB-D.9 2013-8303/826-2013 ; 2013/2137-2013 ; 9718-2012 ; 2013-1032/3888-2013 ; 2014-159/1569-2014 ; 2013-4265/8734-2013 ; 2014-159/1569-2014 (8)"
877094,1094445,"Alice academy / Tachibana Higuchi ; alih bahasa, Nein ; edito, Siti Aminingsih",,"Jakarta :","CB-D.9 2013-8359(25)/8203-2014 ; 2013-8359(21)/3913-2013 ; 2013-4778(27)/9247-2013 ; 2013-8359(24)/5768-2013 ; 2013-1933/5680-2013"
876574,1097457,"Arata / Yuu Watase ; alih bahasa, Yenny Hendrawati ; editor, Faizal",,"Jakarta :","CB-D.9 2013-8336(3)/8215-2014 ; 2013-8336(7)/7829-2014 ; 2013-5133(9)/10152-2013 ; 2013-1378(4)/4627-2013 ; 2013-202/2010-2013 (1) ; 2013-4960/9429-2013 (8). 2013-436/2996-2013 (2)"
876574,1097458,"Arata / Yuu Watase ; alih bahasa, Yenny Hendrawati ; editor, Faizal",,"Jakarta :","CB-D.9 2013-8336(3)/8215-2014 ; 2013-8336(7)/7829-2014 ; 2013-5133(9)/10152-2013 ; 2013-1378(4)/4627-2013 ; 2013-202/2010-2013 (1) ; 2013-4960/9429-2013 (8). 2013-436/2996-2013 (2)"
884584,1108344,"Doraemon / Fujiko F. Fujio ; alih bahasa, Tita Feronty ; Editor, Tari",,"Jakarta :","CB-D.9 3863-2012 (15) ; 5552-2012 (16) ; 11896-2012 (17) 464-2013 (18) ; 2013-618/2048-2013 (19) ; 2013-470/2989-2013 (20) ; 2013-4446/8848-2013 (22) ; 2013-1697/4879-2013 (23) ; 2013-2426/6398-2013 (25) ; 2013-2447/6418-2013 (26) ; 2013-5001/10020-2013 (27) ; 2013-4543/8995-2013 (28) ; 2014-37/1235-2014 (29) ; 2014-873/3928-2014 (31) ; 2014-1565/5610-2014 (34)."
884584,1108345,"Doraemon / Fujiko F. Fujio ; alih bahasa, Tita Feronty ; Editor, Tari",,"Jakarta :","CB-D.9 3863-2012 (15) ; 5552-2012 (16) ; 11896-2012 (17) 464-2013 (18) ; 2013-618/2048-2013 (19) ; 2013-470/2989-2013 (20) ; 2013-4446/8848-2013 (22) ; 2013-1697/4879-2013 (23) ; 2013-2426/6398-2013 (25) ; 2013-2447/6418-2013 (26) ; 2013-5001/10020-2013 (27) ; 2013-4543/8995-2013 (28) ; 2014-37/1235-2014 (29) ; 2014-873/3928-2014 (31) ; 2014-1565/5610-2014 (34)."
884584,1108346,"Doraemon / Fujiko F. Fujio ; alih bahasa, Tita Feronty ; Editor, Tari",,"Jakarta :","CB-D.9 3863-2012 (15) ; 5552-2012 (16) ; 11896-2012 (17) 464-2013 (18) ; 2013-618/2048-2013 (19) ; 2013-470/2989-2013 (20) ; 2013-4446/8848-2013 (22) ; 2013-1697/4879-2013 (23) ; 2013-2426/6398-2013 (25) ; 2013-2447/6418-2013 (26) ; 2013-5001/10020-2013 (27) ; 2013-4543/8995-2013 (28) ; 2014-37/1235-2014 (29) ; 2014-873/3928-2014 (31) ; 2014-1565/5610-2014 (34)."
884584,1108347,"Doraemon / Fujiko F. Fujio ; alih bahasa, Tita Feronty ; Editor, Tari",,"Jakarta :","CB-D.9 3863-2012 (15) ; 5552-2012 (16) ; 11896-2012 (17) 464-2013 (18) ; 2013-618/2048-2013 (19) ; 2013-470/2989-2013 (20) ; 2013-4446/8848-2013 (22) ; 2013-1697/4879-2013 (23) ; 2013-2426/6398-2013 (25) ; 2013-2447/6418-2013 (26) ; 2013-5001/10020-2013 (27) ; 2013-4543/8995-2013 (28) ; 2014-37/1235-2014 (29) ; 2014-873/3928-2014 (31) ; 2014-1565/5610-2014 (34)."
884584,1108349,"Doraemon / Fujiko F. Fujio ; alih bahasa, Tita Feronty ; Editor, Tari",,"Jakarta :","CB-D.9 3863-2012 (15) ; 5552-2012 (16) ; 11896-2012 (17) 464-2013 (18) ; 2013-618/2048-2013 (19) ; 2013-470/2989-2013 (20) ; 2013-4446/8848-2013 (22) ; 2013-1697/4879-2013 (23) ; 2013-2426/6398-2013 (25) ; 2013-2447/6418-2013 (26) ; 2013-5001/10020-2013 (27) ; 2013-4543/8995-2013 (28) ; 2014-37/1235-2014 (29) ; 2014-873/3928-2014 (31) ; 2014-1565/5610-2014 (34)."
884584,1108350,"Doraemon / Fujiko F. Fujio ; alih bahasa, Tita Feronty ; Editor, Tari",,"Jakarta :","CB-D.9 3863-2012 (15) ; 5552-2012 (16) ; 11896-2012 (17) 464-2013 (18) ; 2013-618/2048-2013 (19) ; 2013-470/2989-2013 (20) ; 2013-4446/8848-2013 (22) ; 2013-1697/4879-2013 (23) ; 2013-2426/6398-2013 (25) ; 2013-2447/6418-2013 (26) ; 2013-5001/10020-2013 (27) ; 2013-4543/8995-2013 (28) ; 2014-37/1235-2014 (29) ; 2014-873/3928-2014 (31) ; 2014-1565/5610-2014 (34)."
881412,1109399,"More a flower than a flower / Minako Narita ; alih bahasa, Nein ; editor, Binarti",,"Jakarta :","CB-D.9 2014-3628(12)/9114-2014; 2013-3586/7997-2013(7); 2014-581/2871-2014(10) ; 1520-2012 ; 5983-2012 ; 460-2013 ; 3736-2012"
881412,1109401,"More a flower than a flower / Minako Narita ; alih bahasa, Nein ; editor, Binarti",,"Jakarta :","CB-D.9 2014-3628(12)/9114-2014; 2013-3586/7997-2013(7); 2014-581/2871-2014(10) ; 1520-2012 ; 5983-2012 ; 460-2013 ; 3736-2012"
881412,1109403,"More a flower than a flower / Minako Narita ; alih bahasa, Nein ; editor, Binarti",,"Jakarta :","CB-D.9 2014-3628(12)/9114-2014; 2013-3586/7997-2013(7); 2014-581/2871-2014(10) ; 1520-2012 ; 5983-2012 ; 460-2013 ; 3736-2012"
883643,1112198,"Jio / Seishi Kishimoto ; alih bahasa, Milianti ; editor, Hyasinta",,"Jakarta :","CB-D.9 2010-8788(5)/4347-2012; ..(6)/5525-2012; ..(18)/4528-2009 ; 4283-2012 ; 2011-1890/6361-2011 ; 2009-.../5361-2011 ; 2009-.../3691-2011 ; 2010- /3789-2011 (8) ; 4131-2012 (8) ; 4132-2012 (9) ; 4133-2012 (10) ; 4134-2012 (17) ; 2010-9733(4) ; 2010-9605 (8)"
883643,1112199,"Jio / Seishi Kishimoto ; alih bahasa, Milianti ; editor, Hyasinta",,"Jakarta :","CB-D.9 2010-8788(5)/4347-2012; ..(6)/5525-2012; ..(18)/4528-2009 ; 4283-2012 ; 2011-1890/6361-2011 ; 2009-.../5361-2011 ; 2009-.../3691-2011 ; 2010- /3789-2011 (8) ; 4131-2012 (8) ; 4132-2012 (9) ; 4133-2012 (10) ; 4134-2012 (17) ; 2010-9733(4) ; 2010-9605 (8)"
233859,1108403,"Natural honey dormitory / Oda Aya ; alih bahasa, Trias Ningsih, Cici ; editor, Nia Ikasary",,"Jakarta :","CB-D.9 2011-406/1825-2011(6) ; 4764-2012; 5461-2012(1); 4767-2012(5) ; 4765-2012 ; 4766-2012; ../3213(3)-2011"
882281,1109393,"Pandorahearts / Jun Mochizuki ; alih bahasa, Mustika Maria ; editor, Fitri A.",,"Jakarta :","CB-D.9 2010-8666/5484-2012 ; 2010-188(5) ; 3593-2013 ; 2013-4267/8736-2013; 7138-2013(8); 440-2013(18); 2014-1185/4865-2014(21) ; 2874-2013 (15) ; 3388-2012 (16) ; 7355-2012 (17) ; 2009 - /5854-2011 ; 2011-798/2971-2011 ; 2010 - .../4404-2011 (12) ; 2010- .../5395-2011 (11)"
882281,1109394,"Pandorahearts / Jun Mochizuki ; alih bahasa, Mustika Maria ; editor, Fitri A.",,"Jakarta :","CB-D.9 2010-8666/5484-2012 ; 2010-188(5) ; 3593-2013 ; 2013-4267/8736-2013; 7138-2013(8); 440-2013(18); 2014-1185/4865-2014(21) ; 2874-2013 (15) ; 3388-2012 (16) ; 7355-2012 (17) ; 2009 - /5854-2011 ; 2011-798/2971-2011 ; 2010 - .../4404-2011 (12) ; 2010- .../5395-2011 (11)"
882281,1109395,"Pandorahearts / Jun Mochizuki ; alih bahasa, Mustika Maria ; editor, Fitri A.",,"Jakarta :","CB-D.9 2010-8666/5484-2012 ; 2010-188(5) ; 3593-2013 ; 2013-4267/8736-2013; 7138-2013(8); 440-2013(18); 2014-1185/4865-2014(21) ; 2874-2013 (15) ; 3388-2012 (16) ; 7355-2012 (17) ; 2009 - /5854-2011 ; 2011-798/2971-2011 ; 2010 - .../4404-2011 (12) ; 2010- .../5395-2011 (11)"
882281,1109396,"Pandorahearts / Jun Mochizuki ; alih bahasa, Mustika Maria ; editor, Fitri A.",,"Jakarta :","CB-D.9 2010-8666/5484-2012 ; 2010-188(5) ; 3593-2013 ; 2013-4267/8736-2013; 7138-2013(8); 440-2013(18); 2014-1185/4865-2014(21) ; 2874-2013 (15) ; 3388-2012 (16) ; 7355-2012 (17) ; 2009 - /5854-2011 ; 2011-798/2971-2011 ; 2010 - .../4404-2011 (12) ; 2010- .../5395-2011 (11)"
881111,1116032,"Demon sacred / Natsumi Itsuki ; alih bahasa, Eka Fithry Handayani; editor Tara",,"Jakarta :","CB-D.9 2014-3631(1)/9217-2014; 2014-3631(9)/9217-2014; 2014-578(4)/2868-2014 ; 2014-357/3667-2014 ; CB-D.9 2014-1192/4872-2014; ...(2)/2898-2012; 2014-3631(10)/9218-2014; 2014-3571(11)/9039-2014"
877805,1109368,"Highschool of the dead / Daisuke Sato ; alih bahasa, Ninuk Sulistyawati ; editor, Ellen",,"Jakarta :","CB-D.9 2014-3516/8358-2014 ; 2014-1179/4859-2014; 2013-2443(2)/6414-2013 ; 2014-282/1792-2014 ; 2013-1555/4765-2013"
877805,1109369,"Highschool of the dead / Daisuke Sato ; alih bahasa, Ninuk Sulistyawati ; editor, Ellen",,"Jakarta :","CB-D.9 2014-3516/8358-2014 ; 2014-1179/4859-2014; 2013-2443(2)/6414-2013 ; 2014-282/1792-2014 ; 2013-1555/4765-2013"
882281,1108459,"Pandorahearts / Jun Mochizuki ; alih bahasa, Mustika Maria ; editor, Fitri A.",,"Jakarta :","CB-D.9 2010-8666/5484-2012 ; 2010-188(5) ; 3593-2013 ; 2013-4267/8736-2013; 7138-2013(8); 440-2013(18); 2014-1185/4865-2014(21) ; 2874-2013 (15) ; 3388-2012 (16) ; 7355-2012 (17) ; 2009 - /5854-2011 ; 2011-798/2971-2011 ; 2010 - .../4404-2011 (12) ; 2010- .../5395-2011 (11)"
877658,1109544,"Iliad / Uoto Osamu, Toshusai Garaku ; alih bahasa, Isao Arif ; editor, Jessika",,"Jakarta :","CB-D.9 2013-8430/8222-2014; 09-4336(1); 4685-2012(2) ; 9473-2012 ; 2011-1786/5969-2011 ; 2011-2207/6823-2011; ../4435(6)-2011; 2011-10573/184(8)-2012; ../2299(9)-2012; ../7250(11)-2012; ../2013-621/2157(13)-2013; 2013-2458/6429(15)-2013; ../5400(2)-2011; ../2875(10)-2012"
882281,1109556,"Pandorahearts / Jun Mochizuki ; alih bahasa, Mustika Maria ; editor, Fitri A.",,"Jakarta :","CB-D.9 2010-8666/5484-2012 ; 2010-188(5) ; 3593-2013 ; 2013-4267/8736-2013; 7138-2013(8); 440-2013(18); 2014-1185/4865-2014(21) ; 2874-2013 (15) ; 3388-2012 (16) ; 7355-2012 (17) ; 2009 - /5854-2011 ; 2011-798/2971-2011 ; 2010 - .../4404-2011 (12) ; 2010- .../5395-2011 (11)"
882281,1109557,"Pandorahearts / Jun Mochizuki ; alih bahasa, Mustika Maria ; editor, Fitri A.",,"Jakarta :","CB-D.9 2010-8666/5484-2012 ; 2010-188(5) ; 3593-2013 ; 2013-4267/8736-2013; 7138-2013(8); 440-2013(18); 2014-1185/4865-2014(21) ; 2874-2013 (15) ; 3388-2012 (16) ; 7355-2012 (17) ; 2009 - /5854-2011 ; 2011-798/2971-2011 ; 2010 - .../4404-2011 (12) ; 2010- .../5395-2011 (11)"
882281,1109558,"Pandorahearts / Jun Mochizuki ; alih bahasa, Mustika Maria ; editor, Fitri A.",,"Jakarta :","CB-D.9 2010-8666/5484-2012 ; 2010-188(5) ; 3593-2013 ; 2013-4267/8736-2013; 7138-2013(8); 440-2013(18); 2014-1185/4865-2014(21) ; 2874-2013 (15) ; 3388-2012 (16) ; 7355-2012 (17) ; 2009 - /5854-2011 ; 2011-798/2971-2011 ; 2010 - .../4404-2011 (12) ; 2010- .../5395-2011 (11)"
877658,1109543,"Iliad / Uoto Osamu, Toshusai Garaku ; alih bahasa, Isao Arif ; editor, Jessika",,"Jakarta :","CB-D.9 2013-8430/8222-2014; 09-4336(1); 4685-2012(2) ; 9473-2012 ; 2011-1786/5969-2011 ; 2011-2207/6823-2011; ../4435(6)-2011; 2011-10573/184(8)-2012; ../2299(9)-2012; ../7250(11)-2012; ../2013-621/2157(13)-2013; 2013-2458/6429(15)-2013; ../5400(2)-2011; ../2875(10)-2012"
877658,1109546,"Iliad / Uoto Osamu, Toshusai Garaku ; alih bahasa, Isao Arif ; editor, Jessika",,"Jakarta :","CB-D.9 2013-8430/8222-2014; 09-4336(1); 4685-2012(2) ; 9473-2012 ; 2011-1786/5969-2011 ; 2011-2207/6823-2011; ../4435(6)-2011; 2011-10573/184(8)-2012; ../2299(9)-2012; ../7250(11)-2012; ../2013-621/2157(13)-2013; 2013-2458/6429(15)-2013; ../5400(2)-2011; ../2875(10)-2012"
879631,1109780,"07-Ghost / Yuki Amemiya, Yukino Ichihara ; alih bahasa : Anindhita Raghia ; editor : Lois Arnando",,"Jakarta :","CB-D.9 2868-2013 (3) ; 140-2012 (4) ; 3861-2012 (6) ; 2014-1556/5601-2014 ; 2014-3723(12)/9264-2014 ; 1512-2012 ; 2014-182/1592-2014"
882281,1109389,"Pandorahearts / Jun Mochizuki ; alih bahasa, Mustika Maria ; editor, Fitri A.",,"Jakarta :","CB-D.9 2010-8666/5484-2012 ; 2010-188(5) ; 3593-2013 ; 2013-4267/8736-2013; 7138-2013(8); 440-2013(18); 2014-1185/4865-2014(21) ; 2874-2013 (15) ; 3388-2012 (16) ; 7355-2012 (17) ; 2009 - /5854-2011 ; 2011-798/2971-2011 ; 2010 - .../4404-2011 (12) ; 2010- .../5395-2011 (11)"
882281,1109390,"Pandorahearts / Jun Mochizuki ; alih bahasa, Mustika Maria ; editor, Fitri A.",,"Jakarta :","CB-D.9 2010-8666/5484-2012 ; 2010-188(5) ; 3593-2013 ; 2013-4267/8736-2013; 7138-2013(8); 440-2013(18); 2014-1185/4865-2014(21) ; 2874-2013 (15) ; 3388-2012 (16) ; 7355-2012 (17) ; 2009 - /5854-2011 ; 2011-798/2971-2011 ; 2010 - .../4404-2011 (12) ; 2010- .../5395-2011 (11)"
882281,1109553,"Pandorahearts / Jun Mochizuki ; alih bahasa, Mustika Maria ; editor, Fitri A.",,"Jakarta :","CB-D.9 2010-8666/5484-2012 ; 2010-188(5) ; 3593-2013 ; 2013-4267/8736-2013; 7138-2013(8); 440-2013(18); 2014-1185/4865-2014(21) ; 2874-2013 (15) ; 3388-2012 (16) ; 7355-2012 (17) ; 2009 - /5854-2011 ; 2011-798/2971-2011 ; 2010 - .../4404-2011 (12) ; 2010- .../5395-2011 (11)"
882281,1109554,"Pandorahearts / Jun Mochizuki ; alih bahasa, Mustika Maria ; editor, Fitri A.",,"Jakarta :","CB-D.9 2010-8666/5484-2012 ; 2010-188(5) ; 3593-2013 ; 2013-4267/8736-2013; 7138-2013(8); 440-2013(18); 2014-1185/4865-2014(21) ; 2874-2013 (15) ; 3388-2012 (16) ; 7355-2012 (17) ; 2009 - /5854-2011 ; 2011-798/2971-2011 ; 2010 - .../4404-2011 (12) ; 2010- .../5395-2011 (11)"
882281,1109391,"Pandorahearts / Jun Mochizuki ; alih bahasa, Mustika Maria ; editor, Fitri A.",,"Jakarta :","CB-D.9 2010-8666/5484-2012 ; 2010-188(5) ; 3593-2013 ; 2013-4267/8736-2013; 7138-2013(8); 440-2013(18); 2014-1185/4865-2014(21) ; 2874-2013 (15) ; 3388-2012 (16) ; 7355-2012 (17) ; 2009 - /5854-2011 ; 2011-798/2971-2011 ; 2010 - .../4404-2011 (12) ; 2010- .../5395-2011 (11)"
882281,1109392,"Pandorahearts / Jun Mochizuki ; alih bahasa, Mustika Maria ; editor, Fitri A.",,"Jakarta :","CB-D.9 2010-8666/5484-2012 ; 2010-188(5) ; 3593-2013 ; 2013-4267/8736-2013; 7138-2013(8); 440-2013(18); 2014-1185/4865-2014(21) ; 2874-2013 (15) ; 3388-2012 (16) ; 7355-2012 (17) ; 2009 - /5854-2011 ; 2011-798/2971-2011 ; 2010 - .../4404-2011 (12) ; 2010- .../5395-2011 (11)"
878796,1114418,"Aoba bicycle shop/ Gaku Miyao ; alih bahasa, Nein ; editor, Sari",,"Jakarta :","CB-D.9 2013-8434(10)/441-2013 ; 2013-4777(13)/9246-2013; 2013-2101/5920-2013; 2013-3738(11)/2144-2013"
881111,1113367,"Demon sacred / Natsumi Itsuki ; alih bahasa, Eka Fithry Handayani; editor Tara",,"Jakarta :","CB-D.9 2014-3631(1)/9217-2014; 2014-3631(9)/9217-2014; 2014-578(4)/2868-2014 ; 2014-357/3667-2014 ; CB-D.9 2014-1192/4872-2014; ...(2)/2898-2012; 2014-3631(10)/9218-2014; 2014-3571(11)/9039-2014"
881412,1108832,"More a flower than a flower / Minako Narita ; alih bahasa, Nein ; editor, Binarti",,"Jakarta :","CB-D.9 2014-3628(12)/9114-2014; 2013-3586/7997-2013(7); 2014-581/2871-2014(10) ; 1520-2012 ; 5983-2012 ; 460-2013 ; 3736-2012"
884584,1108341,"Doraemon / Fujiko F. Fujio ; alih bahasa, Tita Feronty ; Editor, Tari",,"Jakarta :","CB-D.9 3863-2012 (15) ; 5552-2012 (16) ; 11896-2012 (17) 464-2013 (18) ; 2013-618/2048-2013 (19) ; 2013-470/2989-2013 (20) ; 2013-4446/8848-2013 (22) ; 2013-1697/4879-2013 (23) ; 2013-2426/6398-2013 (25) ; 2013-2447/6418-2013 (26) ; 2013-5001/10020-2013 (27) ; 2013-4543/8995-2013 (28) ; 2014-37/1235-2014 (29) ; 2014-873/3928-2014 (31) ; 2014-1565/5610-2014 (34)."
881412,1108745,"More a flower than a flower / Minako Narita ; alih bahasa, Nein ; editor, Binarti",,"Jakarta :","CB-D.9 2014-3628(12)/9114-2014; 2013-3586/7997-2013(7); 2014-581/2871-2014(10) ; 1520-2012 ; 5983-2012 ; 460-2013 ; 3736-2012"
